Table_Number,Year,Measure,Indigenous_Status,Law_Enforced,Court_Type,Year_Dollars,Description1,Description2,Description3,Description4,Description5,Description6,Data_Source,Unit,NSW,Vic,Qld,WA,SA,Tas,ACT,NT,Aust cts,Aust
7A.13,2015-16,Recurrent expenditure,All people,Civil,Magistrates' (total),2022-23 dollars,Civil income (excluding fines),,Magistrates' courts,Total magistrates' courts (incl. children's courts),,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,30128,24927,8405,9009,5471,1001,1591,403,..,80935
7A.13,2015-16,Recurrent expenditure,All people,Civil,Federal Court of Australia,2022-23 dollars,Civil income (excluding fines),,Federal court of Australia,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,..,..,..,..,..,..,..,..,20614,20614
7A.13,2015-16,Recurrent expenditure,All people,Civil,Family,2022-23 dollars,Civil income (excluding fines),,WA Family court,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,..,..,..,6899,..,..,..,..,..,6899
7A.13,2015-16,Recurrent expenditure,All people,Civil,FCFCOA (Division 1) and FCFCOA (Division 2),2022-23 dollars,Civil income (excluding fines),,FCFCOA (Division 1) and FCFCOA (Division 2),,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,..,..,..,..,..,..,..,..,87074,87074
7A.13,2015-16,Recurrent expenditure,All people,Civil,Coroners',2022-23 dollars,Civil income (excluding fines),,Coroners' courts,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,187,0,40,501,50,0,54,20,..,852
7A.13,2015-16,Recurrent expenditure,All people,Civil,Supreme (probate only),2022-23 dollars,Civil income (excluding fines),,Supreme courts (probate only),,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,42745,8937,7415,2600,8623,1693,1332,307,..,73652
7A.13,2014-15,Recurrent expenditure,All people,Criminal,All criminal courts,2022-23 dollars,Criminal income (excluding fines),,All criminal courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,17605,0,2274,9068,2203,883,692,460,..,33186
7A.13,2014-15,Recurrent expenditure,All people,Criminal,Supreme,2022-23 dollars,Criminal income (excluding fines),,Supreme courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,125,0,107,80,594,0,57,342,..,1305
7A.13,2014-15,Recurrent expenditure,All people,Criminal,District/county,2022-23 dollars,Criminal income (excluding fines),,District/county courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,3328,0,390,109,666,..,..,..,..,4493
7A.13,2014-15,Recurrent expenditure,All people,Criminal,Magistrates' (excl. children's),2022-23 dollars,Criminal income (excluding fines),,Magistrates' courts,Magistrates' courts only (excl. children's courts),,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,14152,..,1567,8857,927,880,635,111,..,27128
7A.13,2014-15,Recurrent expenditure,All people,Criminal,Children's,2022-23 dollars,Criminal income (excluding fines),,Magistrates' courts,Children's courts,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,0,0,211,22,16,4,0,8,..,259
7A.13,2014-15,Recurrent expenditure,All people,Criminal,Magistrates' (total),2022-23 dollars,Criminal income (excluding fines),,Magistrates' courts,Total magistrates' courts (incl. children's courts),,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,14152,0,1778,8879,942,883,635,119,..,27387
7A.13,2014-15,Recurrent expenditure,All people,Civil,All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts),2022-23 dollars,Civil income (excluding fines),,All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts),,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,76289,55761,23076,21338,13393,1970,3437,1134,..,196399
7A.13,2014-15,Recurrent expenditure,All people,Civil,Supreme (excl. probate),2022-23 dollars,Civil income (excluding fines),,Supreme courts (excl. probate),,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,31686,15948,7844,6812,5158,918,1657,639,..,70663
7A.13,2014-15,Recurrent expenditure,All people,Civil,District/county,2022-23 dollars,Civil income (excluding fines),,District/county courts,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,16044,12650,6270,5986,2420,..,..,..,..,43370
7A.13,2014-15,Recurrent expenditure,All people,Civil,Magistrates' (excl. children's),2022-23 dollars,Civil income (excluding fines),,Magistrates' courts,Magistrates' courts only (excl. children's courts),,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,28557,27164,8824,8512,5801,1052,1780,495,..,82184
7A.13,2014-15,Recurrent expenditure,All people,Civil,Children's,2022-23 dollars,Civil income (excluding fines),,Magistrates' courts,Children's courts,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1,0,137,28,14,0,0,1,..,181
7A.13,2014-15,Recurrent expenditure,All people,Civil,Magistrates' (total),2022-23 dollars,Civil income (excluding fines),,Magistrates' courts,Total magistrates' courts (incl. children's courts),,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,28559,27164,8961,8540,5815,1052,1780,495,..,82366
7A.13,2014-15,Recurrent expenditure,All people,Civil,Federal Court of Australia,2022-23 dollars,Civil income (excluding fines),,Federal court of Australia,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,..,..,..,..,..,..,..,..,23248,23248
7A.13,2014-15,Recurrent expenditure,All people,Civil,Family,2022-23 dollars,Civil income (excluding fines),,WA Family court,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,..,..,..,7249,..,..,..,..,..,7249
7A.13,2014-15,Recurrent expenditure,All people,Civil,FCFCOA (Division 1) and FCFCOA (Division 2),2022-23 dollars,Civil income (excluding fines),,FCFCOA (Division 1) and FCFCOA (Division 2),,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,..,..,..,..,..,..,..,..,69968,69968
7A.13,2014-15,Recurrent expenditure,All people,Civil,Coroners',2022-23 dollars,Civil income (excluding fines),,Coroners' courts,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,115,0,60,73,43,0,30,12,..,333
7A.13,2014-15,Recurrent expenditure,All people,Civil,Supreme (probate only),2022-23 dollars,Civil income (excluding fines),,Supreme courts (probate only),,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,39498,8370,7012,2235,8145,1553,1259,308,..,68379
7A.13,2013-14,Recurrent expenditure,All people,Criminal,All criminal courts,2022-23 dollars,Criminal income (excluding fines),,All criminal courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,16388,0,2251,8437,4044,704,469,381,..,32674
7A.13,2013-14,Recurrent expenditure,All people,Criminal,Supreme,2022-23 dollars,Criminal income (excluding fines),,Supreme courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,163,0,101,70,534,0,94,273,..,1235
7A.13,2013-14,Recurrent expenditure,All people,Criminal,District/county,2022-23 dollars,Criminal income (excluding fines),,District/county courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,2786,0,369,93,704,..,..,..,..,3952
7A.13,2013-14,Recurrent expenditure,All people,Criminal,Magistrates' (excl. children's),2022-23 dollars,Criminal income (excluding fines),,Magistrates' courts,Magistrates' courts only (excl. children's courts),,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,13438,0,1558,8243,2759,700,365,101,..,27164
7A.13,2013-14,Recurrent expenditure,All people,Criminal,Children's,2022-23 dollars,Criminal income (excluding fines),,Magistrates' courts,Children's courts,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1,0,222,31,47,5,11,7,..,323
7A.13,2013-14,Recurrent expenditure,All people,Criminal,Magistrates' (total),2022-23 dollars,Criminal income (excluding fines),,Magistrates' courts,Total magistrates' courts (incl. children's courts),,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,13439,0,1780,8274,2805,704,375,108,..,27486
7A.13,2013-14,Recurrent expenditure,All people,Civil,All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts),2022-23 dollars,Civil income (excluding fines),,All civil courts (excl. the Federal Court of Australia; the FCFCOA (Division 1); the FCFCOA (Division 2); the WA Family court and the coroners' courts),,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,79037,55422,24290,20358,13999,1900,3893,1083,..,199984
7A.13,2013-14,Recurrent expenditure,All people,Civil,Supreme (excl. probate),2022-23 dollars,Civil income (excluding fines),,Supreme courts (excl. probate),,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,34719,13040,8045,6578,5184,969,2134,649,..,71318
7A.13,2013-14,Recurrent expenditure,All people,Civil,District/county,2022-23 dollars,Civil income (excluding fines),,District/county courts,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,15473,14271,6428,5687,2807,..,..,..,..,44665
7A.13,2013-14,Recurrent expenditure,All people,Civil,Magistrates' (excl. children's),2022-23 dollars,Civil income (excluding fines),,Magistrates' courts,Magistrates' courts only (excl. children's courts),,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,28844,28110,9672,8065,6004,931,1754,433,..,83815
7A.13,2013-14,Recurrent expenditure,All people,Civil,Children's,2022-23 dollars,Civil income (excluding fines),,Magistrates' courts,Children's courts,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,1,0,145,29,5,0,5,1,..,186
7A.13,2013-14,Recurrent expenditure,All people,Civil,Magistrates' (total),2022-23 dollars,Civil income (excluding fines),,Magistrates' courts,Total magistrates' courts (incl. children's courts),,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,28846,28111,9817,8094,6009,931,1759,434,..,84001
7A.13,2013-14,Recurrent expenditure,All people,Civil,Federal Court of Australia,2022-23 dollars,Civil income (excluding fines),,Federal court of Australia,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,..,..,..,..,..,..,..,..,26690,26690
7A.13,2013-14,Recurrent expenditure,All people,Civil,Family,2022-23 dollars,Civil income (excluding fines),,WA Family court,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,..,..,..,6610,..,..,..,..,..,6610
7A.13,2013-14,Recurrent expenditure,All people,Civil,FCFCOA (Division 1) and FCFCOA (Division 2),2022-23 dollars,Civil income (excluding fines),,FCFCOA (Division 1) and FCFCOA (Division 2),,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,..,..,..,..,..,..,..,..,67294,67294
7A.13,2013-14,Recurrent expenditure,All people,Civil,Coroners',2022-23 dollars,Civil income (excluding fines),,Coroners' courts,,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,147,0,33,81,34,2,55,0,..,353
7A.13,2013-14,Recurrent expenditure,All people,Civil,Supreme (probate only),2022-23 dollars,Civil income (excluding fines),,Supreme courts (probate only),,,,Derived from Australian state and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,34956,7911,6672,1895,7154,1515,1167,307,..,61578
7A.14,2022-23,Recurrent expenditure,All people,Criminal,All criminal courts,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,All criminal courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,323496,353668,221362,151128,81176,23148,35525,28208,,1217710
7A.14,2022-23,Recurrent expenditure,All people,Criminal,Supreme,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Supreme courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,26794,27898,27238,16751,11104,9875,18172,12402,,150234
7A.14,2022-23,Recurrent expenditure,All people,Criminal,District/county,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,District/county courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,135605,85245,68991,68796,23134,..,..,..,,381772
7A.14,2022-23,Recurrent expenditure,All people,Criminal,Magistrates' (excl. children's),2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Magistrates' courts,Magistrates' courts only (excl. children's courts),,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,152155,231957,110233,58310,44420,12073,15448,13967,,638562
7A.14,2022-23,Recurrent expenditure,All people,Criminal,Children's,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Magistrates' courts,Children's courts,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,8942,8568,14899,7270,2518,1200,1905,1839,,47142
7A.14,2022-23,Recurrent expenditure,All people,Criminal,Magistrates' (total),2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Magistrates' courts,Total magistrates' courts (incl. children's courts),,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,161097,240525,125132,65580,46938,13273,17353,15806,,685704
7A.14,2021-22,Recurrent expenditure,All people,Criminal,All criminal courts,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,All criminal courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,334934,357478,209909,143148,82605,21169,33428,27982,,1210654
7A.14,2021-22,Recurrent expenditure,All people,Criminal,Supreme,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Supreme courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,24899,24520,25575,13101,12356,9561,17164,12967,,140143
7A.14,2021-22,Recurrent expenditure,All people,Criminal,District/county,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,District/county courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,130620,117297,65678,68142,23350,..,..,..,,405087
7A.14,2021-22,Recurrent expenditure,All people,Criminal,Magistrates' (excl. children's),2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Magistrates' courts,Magistrates' courts only (excl. children's courts),,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,169090,202423,104169,56235,44542,10762,14467,13313,,615002
7A.14,2021-22,Recurrent expenditure,All people,Criminal,Children's,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Magistrates' courts,Children's courts,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,10326,13239,14487,5669,2357,847,1797,1702,,50423
7A.14,2021-22,Recurrent expenditure,All people,Criminal,Magistrates' (total),2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Magistrates' courts,Total magistrates' courts (incl. children's courts),,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,179416,215661,118656,61904,46898,11609,16264,15015,,665424
7A.14,2020-21,Recurrent expenditure,All people,Criminal,All criminal courts,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,All criminal courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,311091,297686,204665,155886,85115,21357,36538,28203,,1140541
7A.14,2020-21,Recurrent expenditure,All people,Criminal,Supreme,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Supreme courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,25193,20907,25960,17329,11401,9439,18836,12289,,141354
7A.14,2020-21,Recurrent expenditure,All people,Criminal,District/county,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,District/county courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,119616,91826,63528,67823,24071,..,..,..,,366865
7A.14,2020-21,Recurrent expenditure,All people,Criminal,Magistrates' (excl. children's),2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Magistrates' courts,Magistrates' courts only (excl. children's courts),,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,156747,171940,101406,64656,47266,10951,15534,14082,,582582
7A.14,2020-21,Recurrent expenditure,All people,Criminal,Children's,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Magistrates' courts,Children's courts,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,9534,13013,13771,6079,2376,967,2168,1832,,49740
7A.14,2020-21,Recurrent expenditure,All people,Criminal,Magistrates' (total),2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Magistrates' courts,Total magistrates' courts (incl. children's courts),,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,166281,184953,115177,70735,49642,11918,17702,15915,,632322
7A.14,2019-20,Recurrent expenditure,All people,Criminal,All criminal courts,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,All criminal courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,301838,307832,203920,159997,81067,19828,35997,28372,,1138851
7A.14,2019-20,Recurrent expenditure,All people,Criminal,Supreme,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Supreme courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,23363,22302,23234,17902,10835,9130,17901,12281,,136949
7A.14,2019-20,Recurrent expenditure,All people,Criminal,District/county,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,District/county courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,123634,95792,61898,71487,22663,..,..,..,,375474
7A.14,2019-20,Recurrent expenditure,All people,Criminal,Magistrates' (excl. children's),2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Magistrates' courts,Magistrates' courts only (excl. children's courts),,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,145940,181928,105402,65687,45263,9759,15803,14271,,584053
7A.14,2019-20,Recurrent expenditure,All people,Criminal,Children's,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Magistrates' courts,Children's courts,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,8900,7810,13386,4921,2306,939,2293,1819,,42375
7A.14,2019-20,Recurrent expenditure,All people,Criminal,Magistrates' (total),2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Magistrates' courts,Total magistrates' courts (incl. children's courts),,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,154840,189738,118788,70609,47569,10698,18096,16091,,626428
7A.14,2018-19,Recurrent expenditure,All people,Criminal,All criminal courts,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,All criminal courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,259934,282323,200424,152106,83480,20975,28189,31772,,1059202
7A.14,2018-19,Recurrent expenditure,All people,Criminal,Supreme,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Supreme courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,22589,25372,23610,19364,11309,10633,13074,13668,,139618
7A.14,2018-19,Recurrent expenditure,All people,Criminal,District/county,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,District/county courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,105256,93142,62298,64379,24182,..,..,..,,349257
7A.14,2018-19,Recurrent expenditure,All people,Criminal,Magistrates' (excl. children's),2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Magistrates' courts,Magistrates' courts only (excl. children's courts),,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,122290,156737,101168,63671,45657,9445,13522,16154,,528644
7A.14,2018-19,Recurrent expenditure,All people,Criminal,Children's,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Magistrates' courts,Children's courts,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,9799,7071,13348,4692,2332,897,1593,1950,,41683
7A.14,2018-19,Recurrent expenditure,All people,Criminal,Magistrates' (total),2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Magistrates' courts,Total magistrates' courts (incl. children's courts),,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,132089,163809,114516,68363,47989,10342,15115,18104,,570326
7A.14,2017-18,Recurrent expenditure,All people,Criminal,All criminal courts,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,All criminal courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,265074,261351,199066,143584,82907,21388,21235,31516,,1026121
7A.14,2017-18,Recurrent expenditure,All people,Criminal,Supreme,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Supreme courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,24247,20776,24682,19031,10848,10393,10708,14287,,134973
7A.14,2017-18,Recurrent expenditure,All people,Criminal,District/county,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,District/county courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,103910,93338,60764,53025,24742,..,..,..,,335779
7A.14,2017-18,Recurrent expenditure,All people,Criminal,Magistrates' (excl. children's),2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Magistrates' courts,Magistrates' courts only (excl. children's courts),,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,126217,141315,100849,67029,44965,10016,9592,15444,,515427
7A.14,2017-18,Recurrent expenditure,All people,Criminal,Children's,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Magistrates' courts,Children's courts,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,10700,5922,12770,4500,2352,979,935,1785,,39943
7A.14,2017-18,Recurrent expenditure,All people,Criminal,Magistrates' (total),2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Magistrates' courts,Total magistrates' courts (incl. children's courts),,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,136918,147237,113620,71528,47317,10995,10527,17228,,555370
7A.14,2016-17,Recurrent expenditure,All people,Criminal,All criminal courts,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,All criminal courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,247577,246027,191168,140757,80482,19257,19967,33351,,978586
7A.14,2016-17,Recurrent expenditure,All people,Criminal,Supreme,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Supreme courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,24074,27808,21993,18222,10113,8993,10267,15584,,137053
7A.14,2016-17,Recurrent expenditure,All people,Criminal,District/county,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,District/county courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,92819,88829,59300,45890,23419,..,..,..,,310257
7A.14,2016-17,Recurrent expenditure,All people,Criminal,Magistrates' (excl. children's),2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Magistrates' courts,Magistrates' courts only (excl. children's courts),,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,120337,123928,98946,71946,44698,9399,9027,15667,,493948
7A.14,2016-17,Recurrent expenditure,All people,Criminal,Children's,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Magistrates' courts,Children's courts,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,10347,5462,10929,4699,2253,865,673,2101,,37328
7A.14,2016-17,Recurrent expenditure,All people,Criminal,Magistrates' (total),2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Magistrates' courts,Total magistrates' courts (incl. children's courts),,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,130683,129390,109875,76645,46951,10264,9700,17768,,531276
7A.14,2015-16,Recurrent expenditure,All people,Criminal,All criminal courts,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,All criminal courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,240817,233048,176336,133403,81141,19249,21764,32535,,938292
7A.14,2015-16,Recurrent expenditure,All people,Criminal,Supreme,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Supreme courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,26910,29381,18820,17340,10379,9025,9956,14890,,136702
7A.14,2015-16,Recurrent expenditure,All people,Criminal,District/county,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,District/county courts,,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,82795,86359,52353,43489,21927,..,..,..,,286922
7A.14,2015-16,Recurrent expenditure,All people,Criminal,Magistrates' (excl. children's),2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Magistrates' courts,Magistrates' courts only (excl. children's courts),,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,121627,112148,96334,67615,46383,9381,11035,15247,,479769
7A.14,2015-16,Recurrent expenditure,All people,Criminal,Children's,2022-23 dollars,Real net recurrent expenditure; criminal,Excluding payroll tax,Magistrates' courts,Children's courts,,,Derived from State and territory court authorities and departments (unpublished); ABS Australian National Accounts: National Income Expenditure and Product,$'000,9484,5160,8828,4959,2453,843,773,2398,,34899
